"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","CPI","TOT","AGRWTH","M","2016-01",-0.1,
"JPN","CPI","TOT","AGRWTH","M","2016-02",0.2,
"JPN","CPI","TOT","AGRWTH","M","2016-03",0,
"JPN","CPI","TOT","AGRWTH","M","2016-04",-0.3,
"JPN","CPI","TOT","AGRWTH","M","2016-05",-0.5,
"JPN","CPI","TOT","AGRWTH","M","2016-06",-0.4,
"JPN","CPI","TOT","AGRWTH","M","2016-07",-0.4,
"JPN","CPI","TOT","AGRWTH","M","2016-08",-0.5,
"JPN","CPI","TOT","AGRWTH","M","2016-09",-0.5,
"JPN","CPI","TOT","AGRWTH","M","2016-10",0.1,
"JPN","CPI","TOT","AGRWTH","M","2016-11",0.5,
"JPN","CPI","TOT","AGRWTH","M","2016-12",0.3,
"JPN","CPI","TOT","AGRWTH","M","2017-01",0.4,
"JPN","CPI","TOT","AGRWTH","M","2017-02",0.3,
"JPN","CPI","TOT","AGRWTH","M","2017-03",0.2,
"JPN","CPI","TOT","AGRWTH","M","2017-04",0.4,
"JPN","CPI","TOT","AGRWTH","M","2017-05",0.4,
"JPN","CPI","TOT","AGRWTH","M","2017-06",0.4,
"JPN","CPI","TOT","AGRWTH","M","2017-07",0.4,
"JPN","CPI","TOT","AGRWTH","M","2017-08",0.7,
"JPN","CPI","TOT","AGRWTH","M","2017-09",0.7,
"JPN","CPI","TOT","AGRWTH","M","2017-10",0.2,
"JPN","CPI","TOT","AGRWTH","M","2017-11",0.6,
"JPN","CPI","TOT","AGRWTH","M","2017-12",1,
"JPN","CPI","TOT","AGRWTH","M","2018-01",1.4,
"JPN","CPI","TOT","AGRWTH","M","2018-02",1.5,
"JPN","CPI","TOT","AGRWTH","M","2018-03",1.1,
"JPN","CPI","TOT","AGRWTH","M","2018-04",0.6,
"JPN","CPI","TOT","AGRWTH","M","2018-05",0.7,
"JPN","CPI","TOT","AGRWTH","M","2018-06",0.7,
"JPN","CPI","TOT","AGRWTH","M","2018-07",0.9,
"JPN","CPI","TOT","AGRWTH","M","2018-08",1.3,
"JPN","CPI","TOT","AGRWTH","M","2018-09",1.2,
"JPN","CPI","TOT","AGRWTH","M","2018-10",1.4,
"JPN","CPI","TOT","AGRWTH","M","2018-11",0.8,
"JPN","CPI","TOT","AGRWTH","M","2018-12",0.3,
"JPN","CPI","TOT","AGRWTH","M","2019-01",0.2,
"JPN","CPI","TOT","AGRWTH","M","2019-02",0.2,
"JPN","CPI","TOT","AGRWTH","M","2019-03",0.5,
"JPN","CPI","TOT","AGRWTH","M","2019-04",0.9,
"JPN","CPI","TOT","AGRWTH","M","2019-05",0.7,
"JPN","CPI","TOT","AGRWTH","M","2019-06",0.7,
"JPN","CPI","TOT","AGRWTH","M","2019-07",0.5,
"JPN","CPI","TOT","AGRWTH","M","2019-08",0.3,
"JPN","CPI","TOT","AGRWTH","M","2019-09",0.2,
"JPN","CPI","TOT","AGRWTH","M","2019-10",0.2,
"JPN","CPI","TOT","AGRWTH","M","2019-11",0.5,
"JPN","CPI","TOT","AGRWTH","M","2019-12",0.8,
"JPN","CPI","TOT","AGRWTH","M","2020-01",0.7,
"JPN","CPI","TOT","AGRWTH","M","2020-02",0.4,
"JPN","CPI","TOT","AGRWTH","M","2020-03",0.4,
"JPN","CPI","TOT","AGRWTH","M","2020-04",0.1,
"JPN","CPI","TOT","AGRWTH","M","2020-05",0.1,
"JPN","CPI","TOT","AGRWTH","M","2020-06",0.1,
"JPN","CPI","TOT","AGRWTH","M","2020-07",0.3,
"JPN","CPI","TOT","AGRWTH","M","2020-08",0.2,
"JPN","CPI","TOT","AGRWTH","M","2020-09",0,
"JPN","CPI","TOT","AGRWTH","M","2020-10",-0.4,
"JPN","CPI","TOT","AGRWTH","M","2020-11",-0.9,
"JPN","CPI","TOT","AGRWTH","M","2020-12",-1.2,
"JPN","CPI","TOT","AGRWTH","M","2021-01",-0.7,
"JPN","CPI","TOT","AGRWTH","M","2021-02",-0.5,
"JPN","CPI","TOT","AGRWTH","M","2021-03",-0.4,
"JPN","CPI","TOT","AGRWTH","M","2021-04",-1.1,
"JPN","CPI","TOT","AGRWTH","M","2021-05",-0.8,
"JPN","CPI","TOT","AGRWTH","M","2021-06",-0.5,
"JPN","CPI","TOT","AGRWTH","M","2021-07",-0.3,
"JPN","CPI","TOT","AGRWTH","M","2021-08",-0.4,
"JPN","CPI","TOT","AGRWTH","M","2021-09",0.2,
"JPN","CPI","TOT","AGRWTH","M","2021-10",0.1,
"JPN","CPI","TOT","AGRWTH","M","2021-11",0.6,
"JPN","CPI","TOT","AGRWTH","M","2021-12",0.8,
"JPN","CPI","TOT","AGRWTH","M","2022-01",0.5,
"JPN","CPI","TOT","AGRWTH","M","2022-02",0.9,
"JPN","CPI","TOT","AGRWTH","M","2022-03",1.2,
"JPN","CPI","TOT","AGRWTH","M","2022-04",2.5,
"JPN","CPI","TOT","AGRWTH","M","2022-05",2.5,
"JPN","CPI","TOT","AGRWTH","M","2022-06",2.4,
"JPN","CPI","TOT","AGRWTH","M","2022-07",2.6,
"USA","CPI","TOT","AGRWTH","M","2016-01",1.373087,
"USA","CPI","TOT","AGRWTH","M","2016-02",1.0178,
"USA","CPI","TOT","AGRWTH","M","2016-03",0.8525362,
"USA","CPI","TOT","AGRWTH","M","2016-04",1.12511,
"USA","CPI","TOT","AGRWTH","M","2016-05",1.019323,
"USA","CPI","TOT","AGRWTH","M","2016-06",0.9973265,
"USA","CPI","TOT","AGRWTH","M","2016-07",0.8271388,
"USA","CPI","TOT","AGRWTH","M","2016-08",1.062875,
"USA","CPI","TOT","AGRWTH","M","2016-09",1.463784,
"USA","CPI","TOT","AGRWTH","M","2016-10",1.635988,
"USA","CPI","TOT","AGRWTH","M","2016-11",1.692537,
"USA","CPI","TOT","AGRWTH","M","2016-12",2.074622,
"USA","CPI","TOT","AGRWTH","M","2017-01",2.500042,
"USA","CPI","TOT","AGRWTH","M","2017-02",2.737958,
"USA","CPI","TOT","AGRWTH","M","2017-03",2.380612,
"USA","CPI","TOT","AGRWTH","M","2017-04",2.19969,
"USA","CPI","TOT","AGRWTH","M","2017-05",1.874878,
"USA","CPI","TOT","AGRWTH","M","2017-06",1.633488,
"USA","CPI","TOT","AGRWTH","M","2017-07",1.727978,
"USA","CPI","TOT","AGRWTH","M","2017-08",1.938974,
"USA","CPI","TOT","AGRWTH","M","2017-09",2.232964,
"USA","CPI","TOT","AGRWTH","M","2017-10",2.041129,
"USA","CPI","TOT","AGRWTH","M","2017-11",2.202583,
"USA","CPI","TOT","AGRWTH","M","2017-12",2.109082,
"USA","CPI","TOT","AGRWTH","M","2018-01",2.070508,
"USA","CPI","TOT","AGRWTH","M","2018-02",2.211795,
"USA","CPI","TOT","AGRWTH","M","2018-03",2.359711,
"USA","CPI","TOT","AGRWTH","M","2018-04",2.462744,
"USA","CPI","TOT","AGRWTH","M","2018-05",2.801012,
"USA","CPI","TOT","AGRWTH","M","2018-06",2.871548,
"USA","CPI","TOT","AGRWTH","M","2018-07",2.949515,
"USA","CPI","TOT","AGRWTH","M","2018-08",2.69918,
"USA","CPI","TOT","AGRWTH","M","2018-09",2.276972,
"USA","CPI","TOT","AGRWTH","M","2018-10",2.52247,
"USA","CPI","TOT","AGRWTH","M","2018-11",2.176601,
"USA","CPI","TOT","AGRWTH","M","2018-12",1.910159,
"USA","CPI","TOT","AGRWTH","M","2019-01",1.551235,
"USA","CPI","TOT","AGRWTH","M","2019-02",1.520135,
"USA","CPI","TOT","AGRWTH","M","2019-03",1.862523,
"USA","CPI","TOT","AGRWTH","M","2019-04",1.99644,
"USA","CPI","TOT","AGRWTH","M","2019-05",1.790228,
"USA","CPI","TOT","AGRWTH","M","2019-06",1.648485,
"USA","CPI","TOT","AGRWTH","M","2019-07",1.811465,
"USA","CPI","TOT","AGRWTH","M","2019-08",1.74978,
"USA","CPI","TOT","AGRWTH","M","2019-09",1.711305,
"USA","CPI","TOT","AGRWTH","M","2019-10",1.764043,
"USA","CPI","TOT","AGRWTH","M","2019-11",2.051278,
"USA","CPI","TOT","AGRWTH","M","2019-12",2.28513,
"USA","CPI","TOT","AGRWTH","M","2020-01",2.486572,
"USA","CPI","TOT","AGRWTH","M","2020-02",2.334874,
"USA","CPI","TOT","AGRWTH","M","2020-03",1.539327,
"USA","CPI","TOT","AGRWTH","M","2020-04",0.3290967,
"USA","CPI","TOT","AGRWTH","M","2020-05",0.1179264,
"USA","CPI","TOT","AGRWTH","M","2020-06",0.6457331,
"USA","CPI","TOT","AGRWTH","M","2020-07",0.9860818,
"USA","CPI","TOT","AGRWTH","M","2020-08",1.309645,
"USA","CPI","TOT","AGRWTH","M","2020-09",1.371325,
"USA","CPI","TOT","AGRWTH","M","2020-10",1.182066,
"USA","CPI","TOT","AGRWTH","M","2020-11",1.174536,
"USA","CPI","TOT","AGRWTH","M","2020-12",1.362005,
"USA","CPI","TOT","AGRWTH","M","2021-01",1.39977,
"USA","CPI","TOT","AGRWTH","M","2021-02",1.676215,
"USA","CPI","TOT","AGRWTH","M","2021-03",2.619762,
"USA","CPI","TOT","AGRWTH","M","2021-04",4.159695,
"USA","CPI","TOT","AGRWTH","M","2021-05",4.992707,
"USA","CPI","TOT","AGRWTH","M","2021-06",5.391451,
"USA","CPI","TOT","AGRWTH","M","2021-07",5.365475,
"USA","CPI","TOT","AGRWTH","M","2021-08",5.251272,
"USA","CPI","TOT","AGRWTH","M","2021-09",5.390349,
"USA","CPI","TOT","AGRWTH","M","2021-10",6.221869,
"USA","CPI","TOT","AGRWTH","M","2021-11",6.809003,
"USA","CPI","TOT","AGRWTH","M","2021-12",7.036403,
"USA","CPI","TOT","AGRWTH","M","2022-01",7.479873,
"USA","CPI","TOT","AGRWTH","M","2022-02",7.871064,
"USA","CPI","TOT","AGRWTH","M","2022-03",8.542456,
"USA","CPI","TOT","AGRWTH","M","2022-04",8.25863,
"USA","CPI","TOT","AGRWTH","M","2022-05",8.581511,
"USA","CPI","TOT","AGRWTH","M","2022-06",9.059758,
"USA","CPI","TOT","AGRWTH","M","2022-07",8.524815,
"OECD","CPI","TOT","AGRWTH","M","2016-01",1.285895,
"OECD","CPI","TOT","AGRWTH","M","2016-02",1.060824,
"OECD","CPI","TOT","AGRWTH","M","2016-03",0.9385239,
"OECD","CPI","TOT","AGRWTH","M","2016-04",0.9471933,
"OECD","CPI","TOT","AGRWTH","M","2016-05",0.918912,
"OECD","CPI","TOT","AGRWTH","M","2016-06",1.004772,
"OECD","CPI","TOT","AGRWTH","M","2016-07",0.9927741,
"OECD","CPI","TOT","AGRWTH","M","2016-08",1.057244,
"OECD","CPI","TOT","AGRWTH","M","2016-09",1.284657,
"OECD","CPI","TOT","AGRWTH","M","2016-10",1.451923,
"OECD","CPI","TOT","AGRWTH","M","2016-11",1.542092,
"OECD","CPI","TOT","AGRWTH","M","2016-12",1.877038,
"OECD","CPI","TOT","AGRWTH","M","2017-01",2.358474,
"OECD","CPI","TOT","AGRWTH","M","2017-02",2.550686,
"OECD","CPI","TOT","AGRWTH","M","2017-03",2.358222,
"OECD","CPI","TOT","AGRWTH","M","2017-04",2.396482,
"OECD","CPI","TOT","AGRWTH","M","2017-05",2.160258,
"OECD","CPI","TOT","AGRWTH","M","2017-06",1.972062,
"OECD","CPI","TOT","AGRWTH","M","2017-07",2.007097,
"OECD","CPI","TOT","AGRWTH","M","2017-08",2.220477,
"OECD","CPI","TOT","AGRWTH","M","2017-09",2.378113,
"OECD","CPI","TOT","AGRWTH","M","2017-10",2.223944,
"OECD","CPI","TOT","AGRWTH","M","2017-11",2.411914,
"OECD","CPI","TOT","AGRWTH","M","2017-12",2.344321,
"OECD","CPI","TOT","AGRWTH","M","2018-01",2.194989,
"OECD","CPI","TOT","AGRWTH","M","2018-02",2.211081,
"OECD","CPI","TOT","AGRWTH","M","2018-03",2.284954,
"OECD","CPI","TOT","AGRWTH","M","2018-04",2.273366,
"OECD","CPI","TOT","AGRWTH","M","2018-05",2.612406,
"OECD","CPI","TOT","AGRWTH","M","2018-06",2.789999,
"OECD","CPI","TOT","AGRWTH","M","2018-07",2.888228,
"OECD","CPI","TOT","AGRWTH","M","2018-08",2.897061,
"OECD","CPI","TOT","AGRWTH","M","2018-09",2.913406,
"OECD","CPI","TOT","AGRWTH","M","2018-10",3.109594,
"OECD","CPI","TOT","AGRWTH","M","2018-11",2.706381,
"OECD","CPI","TOT","AGRWTH","M","2018-12",2.39146,
"OECD","CPI","TOT","AGRWTH","M","2019-01",2.111891,
"OECD","CPI","TOT","AGRWTH","M","2019-02",2.092654,
"OECD","CPI","TOT","AGRWTH","M","2019-03",2.281699,
"OECD","CPI","TOT","AGRWTH","M","2019-04",2.485554,
"OECD","CPI","TOT","AGRWTH","M","2019-05",2.265455,
"OECD","CPI","TOT","AGRWTH","M","2019-06",2.082729,
"OECD","CPI","TOT","AGRWTH","M","2019-07",2.15814,
"OECD","CPI","TOT","AGRWTH","M","2019-08",1.962335,
"OECD","CPI","TOT","AGRWTH","M","2019-09",1.679152,
"OECD","CPI","TOT","AGRWTH","M","2019-10",1.650194,
"OECD","CPI","TOT","AGRWTH","M","2019-11",1.896384,
"OECD","CPI","TOT","AGRWTH","M","2019-12",2.167873,
"OECD","CPI","TOT","AGRWTH","M","2020-01",2.381423,
"OECD","CPI","TOT","AGRWTH","M","2020-02",2.276593,
"OECD","CPI","TOT","AGRWTH","M","2020-03",1.751882,
"OECD","CPI","TOT","AGRWTH","M","2020-04",0.8563091,
"OECD","CPI","TOT","AGRWTH","M","2020-05",0.7085828,
"OECD","CPI","TOT","AGRWTH","M","2020-06",1.087093,
"OECD","CPI","TOT","AGRWTH","M","2020-07",1.204152,
"OECD","CPI","TOT","AGRWTH","M","2020-08",1.283356,
"OECD","CPI","TOT","AGRWTH","M","2020-09",1.303731,
"OECD","CPI","TOT","AGRWTH","M","2020-10",1.182598,
"OECD","CPI","TOT","AGRWTH","M","2020-11",1.173207,
"OECD","CPI","TOT","AGRWTH","M","2020-12",1.243358,
"OECD","CPI","TOT","AGRWTH","M","2021-01",1.55585,
"OECD","CPI","TOT","AGRWTH","M","2021-02",1.744306,
"OECD","CPI","TOT","AGRWTH","M","2021-03",2.391515,
"OECD","CPI","TOT","AGRWTH","M","2021-04",3.333868,
"OECD","CPI","TOT","AGRWTH","M","2021-05",3.850698,
"OECD","CPI","TOT","AGRWTH","M","2021-06",4.040372,
"OECD","CPI","TOT","AGRWTH","M","2021-07",4.228751,
"OECD","CPI","TOT","AGRWTH","M","2021-08",4.347585,
"OECD","CPI","TOT","AGRWTH","M","2021-09",4.592291,
"OECD","CPI","TOT","AGRWTH","M","2021-10",5.230937,
"OECD","CPI","TOT","AGRWTH","M","2021-11",5.861014,
"OECD","CPI","TOT","AGRWTH","M","2021-12",6.554108,
"OECD","CPI","TOT","AGRWTH","M","2022-01",7.178156,
"OECD","CPI","TOT","AGRWTH","M","2022-02",7.7559,
"OECD","CPI","TOT","AGRWTH","M","2022-03",8.767613,
"OECD","CPI","TOT","AGRWTH","M","2022-04",9.189217,
"OECD","CPI","TOT","AGRWTH","M","2022-05",9.658562,
"OECD","CPI","TOT","AGRWTH","M","2022-06",10.26796,
"OECD","CPI","TOT","AGRWTH","M","2022-07",10.23364,
"EA19","CPI","TOT","AGRWTH","M","2016-01",0.3,
"EA19","CPI","TOT","AGRWTH","M","2016-02",-0.1,
"EA19","CPI","TOT","AGRWTH","M","2016-03",0,
"EA19","CPI","TOT","AGRWTH","M","2016-04",-0.3,
"EA19","CPI","TOT","AGRWTH","M","2016-05",-0.1,
"EA19","CPI","TOT","AGRWTH","M","2016-06",0,
"EA19","CPI","TOT","AGRWTH","M","2016-07",0.2,
"EA19","CPI","TOT","AGRWTH","M","2016-08",0.2,
"EA19","CPI","TOT","AGRWTH","M","2016-09",0.4,
"EA19","CPI","TOT","AGRWTH","M","2016-10",0.5,
"EA19","CPI","TOT","AGRWTH","M","2016-11",0.6,
"EA19","CPI","TOT","AGRWTH","M","2016-12",1.1,
"EA19","CPI","TOT","AGRWTH","M","2017-01",1.7,
"EA19","CPI","TOT","AGRWTH","M","2017-02",2,
"EA19","CPI","TOT","AGRWTH","M","2017-03",1.5,
"EA19","CPI","TOT","AGRWTH","M","2017-04",1.9,
"EA19","CPI","TOT","AGRWTH","M","2017-05",1.4,
"EA19","CPI","TOT","AGRWTH","M","2017-06",1.3,
"EA19","CPI","TOT","AGRWTH","M","2017-07",1.3,
"EA19","CPI","TOT","AGRWTH","M","2017-08",1.5,
"EA19","CPI","TOT","AGRWTH","M","2017-09",1.6,
"EA19","CPI","TOT","AGRWTH","M","2017-10",1.4,
"EA19","CPI","TOT","AGRWTH","M","2017-11",1.5,
"EA19","CPI","TOT","AGRWTH","M","2017-12",1.3,
"EA19","CPI","TOT","AGRWTH","M","2018-01",1.3,
"EA19","CPI","TOT","AGRWTH","M","2018-02",1.1,
"EA19","CPI","TOT","AGRWTH","M","2018-03",1.4,
"EA19","CPI","TOT","AGRWTH","M","2018-04",1.2,
"EA19","CPI","TOT","AGRWTH","M","2018-05",2,
"EA19","CPI","TOT","AGRWTH","M","2018-06",2,
"EA19","CPI","TOT","AGRWTH","M","2018-07",2.2,
"EA19","CPI","TOT","AGRWTH","M","2018-08",2.1,
"EA19","CPI","TOT","AGRWTH","M","2018-09",2.1,
"EA19","CPI","TOT","AGRWTH","M","2018-10",2.3,
"EA19","CPI","TOT","AGRWTH","M","2018-11",1.9,
"EA19","CPI","TOT","AGRWTH","M","2018-12",1.5,
"EA19","CPI","TOT","AGRWTH","M","2019-01",1.4,
"EA19","CPI","TOT","AGRWTH","M","2019-02",1.5,
"EA19","CPI","TOT","AGRWTH","M","2019-03",1.4,
"EA19","CPI","TOT","AGRWTH","M","2019-04",1.7,
"EA19","CPI","TOT","AGRWTH","M","2019-05",1.2,
"EA19","CPI","TOT","AGRWTH","M","2019-06",1.3,
"EA19","CPI","TOT","AGRWTH","M","2019-07",1,
"EA19","CPI","TOT","AGRWTH","M","2019-08",1,
"EA19","CPI","TOT","AGRWTH","M","2019-09",0.8,
"EA19","CPI","TOT","AGRWTH","M","2019-10",0.7,
"EA19","CPI","TOT","AGRWTH","M","2019-11",1,
"EA19","CPI","TOT","AGRWTH","M","2019-12",1.3,
"EA19","CPI","TOT","AGRWTH","M","2020-01",1.4,
"EA19","CPI","TOT","AGRWTH","M","2020-02",1.2,
"EA19","CPI","TOT","AGRWTH","M","2020-03",0.7,
"EA19","CPI","TOT","AGRWTH","M","2020-04",0.3,
"EA19","CPI","TOT","AGRWTH","M","2020-05",0.1,
"EA19","CPI","TOT","AGRWTH","M","2020-06",0.3,
"EA19","CPI","TOT","AGRWTH","M","2020-07",0.4,
"EA19","CPI","TOT","AGRWTH","M","2020-08",-0.2,
"EA19","CPI","TOT","AGRWTH","M","2020-09",-0.3,
"EA19","CPI","TOT","AGRWTH","M","2020-10",-0.3,
"EA19","CPI","TOT","AGRWTH","M","2020-11",-0.3,
"EA19","CPI","TOT","AGRWTH","M","2020-12",-0.3,
"EA19","CPI","TOT","AGRWTH","M","2021-01",0.9,
"EA19","CPI","TOT","AGRWTH","M","2021-02",0.9,
"EA19","CPI","TOT","AGRWTH","M","2021-03",1.3,
"EA19","CPI","TOT","AGRWTH","M","2021-04",1.6,
"EA19","CPI","TOT","AGRWTH","M","2021-05",2,
"EA19","CPI","TOT","AGRWTH","M","2021-06",1.9,
"EA19","CPI","TOT","AGRWTH","M","2021-07",2.2,
"EA19","CPI","TOT","AGRWTH","M","2021-08",3,
"EA19","CPI","TOT","AGRWTH","M","2021-09",3.4,
"EA19","CPI","TOT","AGRWTH","M","2021-10",4.1,
"EA19","CPI","TOT","AGRWTH","M","2021-11",4.9,
"EA19","CPI","TOT","AGRWTH","M","2021-12",5,
"EA19","CPI","TOT","AGRWTH","M","2022-01",5.1,
"EA19","CPI","TOT","AGRWTH","M","2022-02",5.9,
"EA19","CPI","TOT","AGRWTH","M","2022-03",7.4,
"EA19","CPI","TOT","AGRWTH","M","2022-04",7.4,
"EA19","CPI","TOT","AGRWTH","M","2022-05",8.1,
"EA19","CPI","TOT","AGRWTH","M","2022-06",8.6,
"EA19","CPI","TOT","AGRWTH","M","2022-07",8.9,
